3710, ABCA1_HUMAN
2345, ABCC8_HUMAN
2621, ABCC9_HUMAN
4892, ABCG1_HUMAN
30, ABCG2_HUMAN
137, ABL1_HUMAN
155, ABL2_HUMAN
29, ACACA_HUMAN
28, ACACB_HUMAN
848, ACE_HUMAN
2347, ACE2_HUMAN
3019, ACHE_HUMAN
4744, ACSL1_HUMAN
3653, ACSL4_HUMAN
1583, ACVR1_HUMAN
2067, ADA_HUMAN
1614, ADCY1_HUMAN
1613, ADCY2_HUMAN
1611, ADCY8_HUMAN
1482, ADH1A_HUMAN
1488, ADH1B_HUMAN
767, ADK_HUMAN
1117, ADRB1_HUMAN
981, ADRB2_HUMAN
1195, ADRB3_HUMAN
535, AGTR1_HUMAN
1525, AGTR2_HUMAN
2744, AHR_HUMAN
466, AKT1_HUMAN
183, ALK_HUMAN
5362, AMHR2_HUMAN
3873, ANXA1_HUMAN
1543, AOC3_HUMAN
4678, AQP1_HUMAN
4255, ARAF_HUMAN
4899, ASMT_HUMAN
4005, ASNS_HUMAN
1632, ATP4A_HUMAN
1633, ATP4B_HUMAN
812, AURKA_HUMAN
63, BCL2_HUMAN
1868, BCR_HUMAN
938, BRS3_HUMAN
188, BTK_HUMAN
4639, CALR_HUMAN
5811, CALY_HUMAN
360, CASP1_HUMAN
91, CASP3_HUMAN
45, CCKAR_HUMAN
2742, CCL2_HUMAN
1299, CCNB1_HUMAN
991, CCND1_HUMAN
992, CCND2_HUMAN
200, CCR2_HUMAN
283, CDK1_HUMAN
2939, CDK15_HUMAN
990, CDK4_HUMAN
481, CFTR_HUMAN
3573, CHD1_HUMAN
1417, CHKA_HUMAN
107, CNR1_HUMAN
108, CNR2_HUMAN
1586, COMT_HUMAN
2895, COX2_HUMAN
780, CSF1R_HUMAN
665, CXCR1_HUMAN
657, CXCR2_HUMAN
1122, CXCR4_HUMAN
1420, DCK_HUMAN
4494, DDC_HUMAN
163, DDR1_HUMAN
382, DDR2_HUMAN
3689, DHRS3_HUMAN
5710, DHRS4_HUMAN
646, DNMT1_HUMAN
418, DPP4_HUMAN
699, DPP8_HUMAN
700, DPP9_HUMAN
