1	P49654	P2RX3_RAT	reviewed	P2X purinoceptor 3 (P2X3) (ATP receptor) (Purinergic receptor)	P2rx3	Rattus norvegicus (Rat)	397
2	P06239	LCK_HUMAN	reviewed	Tyrosine-protein kinase Lck (EC 2.7.10.2) (Leukocyte C-terminal Src kinase) (LSK) (Lymphocyte cell-specific protein-tyrosine kinase) (Protein YT16) (Proto-oncogene Lck) (T cell-specific protein-tyrosine kinase) (p56-LCK)	LCK	Homo sapiens (Human)	509
3	P08912	ACM5_HUMAN	reviewed	Muscarinic acetylcholine receptor M5	CHRM5	Homo sapiens (Human)	532
4	P20309	ACM3_HUMAN	reviewed	Muscarinic acetylcholine receptor M3	CHRM3	Homo sapiens (Human)	590
5	P23975	SC6A2_HUMAN	reviewed	Sodium-dependent noradrenaline transporter (Norepinephrine transporter) (NET) (Solute carrier family 6 member 2)	SLC6A2 NAT1 NET1 SLC6A5	Homo sapiens (Human)	617
6	P31645	SC6A4_HUMAN	reviewed	Sodium-dependent serotonin transporter (5HT transporter) (5HTT) (Solute carrier family 6 member 4)	SLC6A4 HTT SERT	Homo sapiens (Human)	630
7	Q01959	SC6A3_HUMAN	reviewed	Sodium-dependent dopamine transporter (DA transporter) (DAT) (Solute carrier family 6 member 3)	SLC6A3 DAT1	Homo sapiens (Human)	620
8	P56817	BACE1_HUMAN	reviewed	Beta-secretase 1 (EC 3.4.23.46) (Aspartyl protease 2) (ASP2) (Asp 2) (Beta-site amyloid precursor protein cleaving enzyme 1) (Beta-site APP cleaving enzyme 1) (Memapsin-2) (Membrane-associated aspartic protease 2)	BACE1 BACE KIAA1149	Homo sapiens (Human)	501
9	Q13547	HDAC1_HUMAN	reviewed	Histone deacetylase 1 (HD1) (EC 3.5.1.98)	HDAC1 RPD3L1	Homo sapiens (Human)	482
10	P00533	EGFR_HUMAN	reviewed	Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1)	EGFR ERBB ERBB1 HER1	Homo sapiens (Human)	1210
11	P28845	DHI1_HUMAN	reviewed	Corticosteroid 11-beta-dehydrogenase isozyme 1 (EC 1.1.1.146) (11-beta-hydroxysteroid dehydrogenase 1) (11-DH) (11-beta-HSD1) (Short chain dehydrogenase/reductase family 26C member 1)	HSD11B1 HSD11 HSD11L SDR26C1	Homo sapiens (Human)	292
12	P50172	DHI1_MOUSE	reviewed	Corticosteroid 11-beta-dehydrogenase isozyme 1 (EC 1.1.1.146) (11-beta-hydroxysteroid dehydrogenase 1) (11-DH) (11-beta-HSD1) (11beta-HSD1A)	Hsd11b1 Hsd11	Mus musculus (Mouse)	292
13	P29371	NK3R_HUMAN	reviewed	Neuromedin-K receptor (NKR) (NK-3 receptor) (NK-3R) (Neurokinin B receptor) (Tachykinin receptor 3)	TACR3 NK3R TAC3R	Homo sapiens (Human)	465
14	P30968	GNRHR_HUMAN	reviewed	Gonadotropin-releasing hormone receptor (GnRH receptor) (GnRH-R)	GNRHR GRHR	Homo sapiens (Human)	328
15	O60885	BRD4_HUMAN	reviewed	Bromodomain-containing protein 4 (Protein HUNK1)	BRD4 HUNK1	Homo sapiens (Human)	1362
16	P25440	BRD2_HUMAN	reviewed	Bromodomain-containing protein 2 (O27.1.1) (Really interesting new gene 3 protein)	BRD2 KIAA9001 RING3	Homo sapiens (Human)	801
17	Q15059	BRD3_HUMAN	reviewed	Bromodomain-containing protein 3 (RING3-like protein)	BRD3 KIAA0043 RING3L	Homo sapiens (Human)	726
18	P12530	LOX15_RABIT	reviewed	Arachidonate 15-lipoxygenase (15-LOX) (EC 1.13.11.33) (12/15-lipoxygenase) (Arachidonate 12-lipoxygenase, leukocyte-type) (12-LOX) (L-12LO) (EC 1.13.11.31) (Arachidonate omega-6 lipoxygenase) (Erythroid cell-specific 15-lipoxygenase)	ALOX15	Oryctolagus cuniculus (Rabbit)	663
19	P15056	BRAF_HUMAN	reviewed	Serine/threonine-protein kinase B-raf (EC 2.7.11.1) (Proto-oncogene B-Raf) (p94) (v-Raf murine sarcoma viral oncogene homolog B1)	BRAF BRAF1 RAFB1	Homo sapiens (Human)	766
20	Q99705	MCHR1_HUMAN	reviewed	Melanin-concentrating hormone receptor 1 (MCH receptor 1) (MCH-R1) (MCHR-1) (G-protein coupled receptor 24) (MCH-1R) (MCH1R) (MCHR) (SLC-1) (Somatostatin receptor-like protein)	MCHR1 GPR24 SLC1	Homo sapiens (Human)	422
21	O42275	ACES_ELEEL	reviewed	Acetylcholinesterase (AChE) (EC 3.1.1.7)	ache	Electrophorus electricus (Electric eel) (Gymnotus electricus)	633
