Index	TID	Accession	Synonym	Description
1	103945	D5HSX5	blaPER-6	Beta-lactamase
2	103947	Q9Y6L6	LST1 	Solute carrier organic anion transporter family member 1B1
3	103940	Q9NAW4	Cysteine protease falcipain-3	Cysteine protease falcipain-3
4	103949	P49764	Plgf	Placenta growth factor
5	103948	P19022	CDHN 	Cadherin-2
6	11542	P08686	CYP21 	Steroid 21-hydroxylase
7	11540	P13569	ABCC7	Cystic fibrosis transmembrane conductance regulator
8	11541	P19099	CYP11B2	Cytochrome P450 11B2, mitochondrial
9	11546	O00754	LAMAN 	Lysosomal alpha-mannosidase
10	103897	P00727	LAP3	Cytosol aminopeptidase
11	103896	Q96HE7	ERO1L	ERO1-like protein alpha
12	11382	P19367	HK1	Hexokinase-1
13	103894	P11500	Heat shock protein HSP 90	Heat shock protein HSP 90
14	103891	P9WKK7	icl	Isocitrate lyase
15	11387	P12259	F5	Coagulation factor V
16	10893	Q13509	TUBB4	Tubulin beta-3 chain
17	10892	P13612	CD49D	Integrin alpha-4
18	103899	P14927	UQBP	Cytochrome b-c1 complex subunit 7
19	101245	P16056	Met	Hepatocyte growth factor receptor
20	103548	P56704	WNT3A	Protein Wnt-3a
21	100168	Q04206	NFKB3	Transcription factor p65
22	103541	P05193	blaC	Beta-lactamase
23	103544	P0A3M5	pbp2b	Penicillin-binding protein 2B
24	109580	Q99466	INT3	Neurogenic locus notch homolog protein 4
25	101013	Q9Y253	RAD30 	DNA polymerase eta
26	101490	P71716	mbtA	Bifunctional enzyme MbtA: salicyl-AMP ligase (SAL-AMP ligase) + salicyl-S-ArCP synthetase
27	12703	Q15661	TPS1 	Tryptase alpha/beta-1
28	12702	P51580	TPMT	Thiopurine S-methyltransferase
29	12705	P45352	Tyms	Thymidylate synthase
30	12704	P02766	PALB	Transthyretin
31	101497	P80299	Ephx2	Bifunctional epoxide hydrolase 2
32	101499	P80370	DLK	Protein delta homolog 1
33	12708	Q01727	Msh-r	Melanocyte-stimulating hormone receptor
34	10967	P49674	CSNK1E	Casein kinase I isoform epsilon
35	101160	P11797	chiB	Chitinase B
36	101163	P12746	luxR	Transcriptional activator protein LuxR
37	10964	P23687	PREP	Prolyl endopeptidase
38	101165	P13516	Scd1	Acyl-CoA desaturase 1
39	10962	Q9XTA2	PREP	Prolyl endopeptidase
40	101167	P38604	ERG7	Lanosterol synthase
41	10960	P35396	Nr1c2 	Peroxisome proliferator-activated receptor delta
42	101168	P38605	CYC	Cycloartenol synthase
43	104280	Q8ZEY1	ipk	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
44	102590	Q5VLE3	rmtA	RmtA
45	104669	O54967	Ack1	Activated CDC42 kinase 1
46	104668	Q93T40	bla2	Beta-lactamase
47	109594	Q62205	Kiaa4197	Sodium channel protein type 9 subunit alpha
48	104666	P01111	HRAS1	GTPase NRas
49	270	P10826	HAP 	Retinoic acid receptor beta
50	271	P10828	ERBA2 	Thyroid hormone receptor beta
51	272	P11926	ODC1	Ornithine decarboxylase
52	100944	P06881	CALC1	Calcitonin gene-related peptide 1
53	275	P19793	NR2B1	Retinoic acid receptor RXR-alpha
54	276	P27815	DPDE2	cAMP-specific 3',5'-cyclic phosphodiesterase 4A
55	277	P28702	NR2B2	Retinoic acid receptor RXR-beta
56	278	P29275	ADORA2B	Adenosine receptor A2b
57	279	P30939	HTR1EL	5-hydroxytryptamine receptor 1F
58	102840	Q9QVP9	Fak2 	Protein-tyrosine kinase 2-beta
59	102847	Q6T3U4	Npc1l1	Niemann-Pick C1-like protein 1
60	102846	Q02111	Pkcq	Protein kinase C theta type
61	102845	P28776	Ido 	Indoleamine 2,3-dioxygenase 1
62	10614	Q62053	Ptgerep2	Prostaglandin E2 receptor EP2 subtype
63	12019	P09483	Acra4	Neuronal acetylcholine receptor subunit alpha-4
64	12018	Q9ERZ8	Vroac	Transient receptor potential cation channel subfamily V member 4
65	104134	Q5NGP7	kdsD	Arabinose 5-phosphate isomerase KdsD
66	12014	P55211	MCH6	Caspase-9
67	12017	Q9ERC0	None	Neuropeptide Y receptor Y2
68	101386	P53671	LIMK2	LIM domain kinase 2
69	101380	P22513	Glyceraldehyde-3-phosphate dehydrogenase, glycosomal	Glyceraldehyde-3-phosphate dehydrogenase, glycosomal
70	12013	P55212	MCH2	Caspase-6
71	12012	P19492	Glur3	Glutamate receptor 3
72	10419	A2AGL3	Ryr3	Ryanodine receptor 3
73	11736	P30543	Adora2a	Adenosine receptor A2a
74	101019	P08922	MCF3 	Proto-oncogene tyrosine-protein kinase ROS
75	101018	P08659	Luciferin 4-monooxygenase	Luciferin 4-monooxygenase
76	100010	Q9Y233	PDE10A	cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A
77	101548	P97321	Fap	Prolyl endopeptidase FAP
78	101547	P97287	Mcl1	Induced myeloid leukemia cell differentiation protein Mcl-1 homolog
79	101014	Q9Y463	MIRK	Dual specificity tyrosine-phosphorylation-regulated kinase 1B
80	101017	P08487	PLCG1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1
81	101016	Q9Y4D2	C11orf11 	Sn1-specific diacylglycerol lipase alpha
82	101543	P94958	ampC	Beta-lactamase
83	101542	P81908	BCHE	Cholinesterase
84	100018	Q06486	Hckid	Casein kinase I isoform delta
85	101540	P31482	Pla2g2a	Phospholipase A2, membrane associated
86	17031	P00346	MDH2	Malate dehydrogenase, mitochondrial
87	10709	P21398	MAOA	Amine oxidase [flavin-containing] A
88	17033	P00523	SRC	Proto-oncogene tyrosine-protein kinase Src
89	17034	P00743	F10	Coagulation factor X
90	17035	P00767	Chymotrypsinogen B	Chymotrypsinogen B
91	17036	P00956	ilvS	Isoleucine--tRNA ligase
92	10702	P50579	MNPEP 	Methionine aminopeptidase 2
93	10701	Q01662	MAP1	Methionine aminopeptidase 1
94	10707	P46197	NPR2	Atrial natriuretic peptide receptor 2
95	11269	Q13133	LXRA	Oxysterols receptor LXR-alpha
96	10705	P04746	AMY2A	Pancreatic alpha-amylase
97	108	P28335	HTR1C	5-hydroxytryptamine receptor 2C
98	109	P0A749	murZ	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
99	102932	Q62600	Nos3	Nitric oxide synthase, endothelial
100	109587	Q9H999	PANK3	Pantothenate kinase 3
101	102	P25021	HRH2	Histamine H2 receptor
102	103	P25100	ADRA1A	Alpha-1D adrenergic receptor
103	100	P23975	NAT1 	Sodium-dependent noradrenaline transporter
104	106	P28222	HTR1DB	5-hydroxytryptamine receptor 1B
105	107	P28223	HTR2	5-hydroxytryptamine receptor 2A
106	104	P27338	MAOB	Amine oxidase [flavin-containing] B
107	105	P28221	HTR1DA 	5-hydroxytryptamine receptor 1D
108	102447	P43250	GPRK6	G protein-coupled receptor kinase 6
109	103112	Q8HY88	Kcnk2	Potassium channel subfamily K member 2
110	102445	Q9UKK3	ADPRTL1 	Poly [ADP-ribose] polymerase 4
111	102444	Q95214	ACAT	Acyl-CoA:cholesterol acyltransferase
112	102443	Q9QYJ6	Pde10a	cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A
113	102440	C3SWJ7	thyA	Thymidylate synthase
114	103890	O50979	resT	Telomere resolvase ResT
115	12992	O43525	KCNQ3	Potassium voltage-gated channel subfamily KQT member 3
116	101458	Q9FUJ3	CKX2	Cytokinin dehydrogenase 2
117	12129	Q06518	Nos2	Nitric oxide synthase, inducible
118	12128	P07861	Mme	Neprilysin
119	11615	P50282	Mmp9	Matrix metalloproteinase-9
120	10639	Q04844	ACHRE	Acetylcholine receptor subunit epsilon
121	104215	C3TDZ2	None	3-oxoacyl-[acyl-carrier-protein] synthase 3
122	10636	Q9UGM1	NACHRA9	Neuronal acetylcholine receptor subunit alpha-9
123	10635	P36544	NACHRA7	Neuronal acetylcholine receptor subunit alpha-7
124	10634	P43143	Acra6	Neuronal acetylcholine receptor subunit alpha-6
125	105712	Q14721	KCNB1	Potassium voltage-gated channel subfamily B member 1
126	104216	P12276	FAS	Fatty acid synthase
127	11618	Q12923	PNP1 	Tyrosine-protein phosphatase non-receptor type 13
128	11619	P55786	PSA	Puromycin-sensitive aminopeptidase
129	10417	Q99572	P2RX7	P2X purinoceptor 7
130	10140	P06239	LCK	Tyrosine-protein kinase Lck
131	10143	P50391	PPYR1	Neuropeptide Y receptor type 4
132	10142	P32245	MC4R	Melanocortin receptor 4
133	105532	Q37001	ACC5 	1-aminocyclopropane-1-carboxylate synthase 5
134	10144	P13497	PCOLC	Bone morphogenetic protein 1
135	10147	Q16678	CYP1B1	Cytochrome P450 1B1
136	11949	P51577	P2rx4	P2X purinoceptor 4
137	10149	P47205	envA	UDP-3-O-acyl-N-acetylglucosamine deacetylase
138	10148	P12104	FABPI	Fatty acid-binding protein, intestinal
139	11944	Q9WTR4	Slc6a2	Transporter
140	11942	P00749	PLAU	Urokinase-type plasminogen activator
141	11943	P19174	PLC1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1
142	11940	P42356	PIK4 	Phosphatidylinositol 4-kinase alpha
143	11941	Q9UBF8	PIK4CB	Phosphatidylinositol 4-kinase beta
144	10007	P20248	CCN1 	Cyclin-A2
145	104574	P60484	MMAC1 	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN
146	12999	P36873	PPP1CC	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit
147	10001	O60906	SMPD2	Sphingomyelin phosphodiesterase 2
148	11013	O60551	NMT2	Glycylpeptide N-tetradecanoyltransferase 2
149	102621	P21589	NT5 	5'-nucleotidase
150	18061	Q15858	NENA	Sodium channel protein type 9 subunit alpha
151	106577	G2YM83	Cytochrome b-c1 complex subunit Rieske, mitochondrial	Cytochrome b-c1 complex subunit Rieske, mitochondrial
152	10168	P28161	GST4	Glutathione S-transferase Mu 2
153	12235	P07727	Glyr	Glycine receptor subunit alpha-1
154	12236	P51639	Hmgcr	3-hydroxy-3-methylglutaryl-coenzyme A reductase
155	18064	Q5HMD9	None	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
156	12232	P56560	MAOB	Amine oxidase [flavin-containing] B
157	109562	Q9Y294	None	Histone chaperone ASF1A
158	12239	P19643	Maob	Amine oxidase [flavin-containing] B
159	12238	P07154	Ctsl1	Cathepsin L1
160	105519	Q8MZM0	Carboxylic ester hydrolase	Carboxylic ester hydrolase
161	105542	Q04468	CYP73	Trans-cinnamate 4-monooxygenase
162	10563	P35813	PPPM1A	Protein phosphatase 1A
163	98	P23921	RR1	Ribonucleoside-diphosphate reductase large subunit
164	10561	P46059	PEPT1	Solute carrier family 15 member 1
165	10560	P08104	Scn3a	Sodium channel protein type 3 subunit alpha
166	10567	P05164	MPO	Myeloperoxidase
167	10564	P37289	PTGFR	Prostaglandin F2-alpha receptor
168	91	P21964	COMT	Catechol O-methyltransferase
169	90	P21917	DRD4	D(4) dopamine receptor
170	93	P22303	ACHE	Acetylcholinesterase
171	10160	P11766	ADHX 	Alcohol dehydrogenase class-3
172	95	P22888	LCGR 	Lutropin-choriogonadotropic hormone receptor
173	97	P23284	CYPB	Peptidyl-prolyl cis-trans isomerase B
174	96	P23219	COX1	Prostaglandin G/H synthase 1
175	10093	P01112	HRAS1	GTPase HRas
176	10096	P07807	DFR1	Dihydrofolate reductase
177	10095	P00378	DHFR	Dihydrofolate reductase
178	10094	P22906	DFR1	Dihydrofolate reductase
179	105640	Q01538	KIAA0835 	Myelin transcription factor 1
180	106625	P69560	psbA	Photosystem II protein D1
181	105541	Q43054	CYP73	Trans-cinnamate 4-monooxygenase
182	106623	P55826	HEMG1 	Protoporphyrinogen oxidase 1, chloroplastic
183	106621	P48016	ATH1	Vacuolar acid trehalase
184	102719	P40926	MDH2	Malate dehydrogenase, mitochondrial
185	102718	Q14703	KIAA0091 	Membrane-bound transcription factor site-1 protease
186	13053	P37059	EDH17B2 	Estradiol 17-beta-dehydrogenase 2
187	13056	Q16647	CYP8 	Prostacyclin synthase
188	13054	P09417	DHPR 	Dihydropteridine reductase
189	13055	P15559	DIA4 	NAD(P)H dehydrogenase [quinone] 1
190	109536	Q9NS86	GPR69B 	LanC-like protein 2
191	103590	Q96LA8	HRMT1L6	Protein arginine N-methyltransferase 6
192	12949	P05093	CYP17 	Steroid 17-alpha-hydroxylase/17,20 lyase
193	12948	P18886	Cpt-2	Carnitine O-palmitoyltransferase 2, mitochondrial
194	108008	Q9NR22	HRMT1L3 	Protein arginine N-methyltransferase 8
195	100166	P52732	EG5 	Kinesin-like protein KIF11
196	12943	Q16572	VACHT	Vesicular acetylcholine transporter
197	108004	Q9ULD4	KIAA1286	Bromodomain and PHD finger-containing protein 3
198	18071	Q96RI0	PAR4	Proteinase-activated receptor 4
199	12947	Q00535	CDKN5	Cyclin-dependent-like kinase 5
200	12946	P11802	CDK4	Cyclin-dependent kinase 4
201	12945	P32320	CDD	Cytidine deaminase
202	12944	P23443	STK14A	Ribosomal protein S6 kinase beta-1
203	107660	Q8I2S7	3-oxoacyl-[acyl-carrier-protein] reductase	3-oxoacyl-[acyl-carrier-protein] reductase
