CHEMBL_ID	TID	PREF_NAME	PROTEIN_ACCESSION	TARGET_TYPE	ORGANISM	COMPOUNDS	ENDPOINTS
CHEMBL2434	10773	Interleukin-8 receptor B	P25025	SINGLE PROTEIN	Homo sapiens	1548	2506
CHEMBL2488	10614	Prostanoid EP2 receptor	Q62053	SINGLE PROTEIN	Mus musculus	249	300
CHEMBL2497	10545	Purinergic receptor P2Y1	P49651	SINGLE PROTEIN	Rattus norvegicus	21	31
CHEMBL217	72	Dopamine D2 receptor	P14416	SINGLE PROTEIN	Homo sapiens	7634	12703
CHEMBL229	125	Alpha-1a adrenergic receptor	P35348	SINGLE PROTEIN	Homo sapiens	1880	2668
CHEMBL1850	220	Dopamine D5 receptor	P21918	SINGLE PROTEIN	Homo sapiens	500	672
CHEMBL226	114	Adenosine A1 receptor	P30542	SINGLE PROTEIN	Homo sapiens	6509	10994
CHEMBL1855	118	Gonadotropin-releasing hormone receptor	P30968	SINGLE PROTEIN	Homo sapiens	1435	2880
CHEMBL218	87	Cannabinoid CB1 receptor	P21554	SINGLE PROTEIN	Homo sapiens	6266	10526
CHEMBL213	50	Beta-1 adrenergic receptor	P08588	SINGLE PROTEIN	Homo sapiens	2847	4539
CHEMBL1941	102	Histamine H2 receptor	P25021	SINGLE PROTEIN	Homo sapiens	1731	2820
CHEMBL2203	11061	Motilin receptor	O43193	SINGLE PROTEIN	Homo sapiens	310	479
CHEMBL3154	10983	Neurokinin 3 receptor	P16177	SINGLE PROTEIN	Rattus norvegicus	126	128
CHEMBL1983	105	Serotonin 1d (5-HT1d) receptor	P28221	SINGLE PROTEIN	Homo sapiens	1520	2415
CHEMBL2014	138	Nociceptin receptor	P41146	SINGLE PROTEIN	Homo sapiens	1536	2899
CHEMBL2871	12824	Cholecystokinin A receptor	P30551	SINGLE PROTEIN	Rattus norvegicus	1347	1674
CHEMBL2955	11562	Sphingosine 1-phosphate receptor Edg-5	O95136	SINGLE PROTEIN	Homo sapiens	593	879
CHEMBL2978	10113	Somatostatin receptor 2	P30680	SINGLE PROTEIN	Rattus norvegicus	155	158
CHEMBL3191	10868	Leukotriene B4 receptor 2	Q9NPC1	SINGLE PROTEIN	Homo sapiens	7	7
CHEMBL314	12216	Alpha-2c adrenergic receptor	P22086	SINGLE PROTEIN	Rattus norvegicus	9	9
CHEMBL2701	11007	Melanocortin receptor 5	P35345	SINGLE PROTEIN	Rattus norvegicus	1	3
CHEMBL2720	11528	Cholecystokinin B receptor	P79266	SINGLE PROTEIN	Bos taurus	35	35
CHEMBL2798	10466	Cholecystokinin A receptor	O08786	SINGLE PROTEIN	Mus musculus	79	90
CHEMBL2861	17020	C5a anaphylatoxin chemotactic receptor	O70129	SINGLE PROTEIN	Cavia porcellus	6	6
CHEMBL3614	10527	Kappa opioid receptor	P34975	SINGLE PROTEIN	Rattus norvegicus	426	589
CHEMBL3707	10283	Beta-2 adrenergic receptor	P18762	SINGLE PROTEIN	Mus musculus	22	44
CHEMBL265	10304	Dopamine D1 receptor	P18901	SINGLE PROTEIN	Rattus norvegicus	1210	1864
CHEMBL3993	10586	Platelet activating factor receptor	Q62035	SINGLE PROTEIN	Mus musculus	221	247
CHEMBL3944	17076	Vasopressin V2 receptor	P32307	SINGLE PROTEIN	Sus scrofa	75	129
CHEMBL329	12807	Type-1A angiotensin II receptor	P25095	SINGLE PROTEIN	Rattus norvegicus	161	211
CHEMBL4655	10626	Serotonin 5a (5-HT5a) receptor	P35364	SINGLE PROTEIN	Rattus norvegicus	24	24
CHEMBL4714	10012	Pyrimidinergic receptor P2Y6	Q15077	SINGLE PROTEIN	Homo sapiens	358	507
CHEMBL4561	11336	Neuropeptide Y receptor type 5	Q15761	SINGLE PROTEIN	Homo sapiens	1316	1548
CHEMBL4613	10677	Bradykinin B1 receptor	P97583	SINGLE PROTEIN	Rattus norvegicus	70	77
CHEMBL4616	11536	Ghrelin receptor	Q92847	SINGLE PROTEIN	Homo sapiens	1447	2823
CHEMBL4330	10015	Cysteinyl leukotriene receptor 2	Q9NS75	SINGLE PROTEIN	Homo sapiens	7	13
CHEMBL4397	11895	Somatostatin receptor 4	P49660	SINGLE PROTEIN	Mus musculus	1	1
CHEMBL4423	100432	C-C chemokine receptor type 6	P51684	SINGLE PROTEIN	Homo sapiens	298	313
CHEMBL4427	12659	Prostanoid DP receptor	Q13258	SINGLE PROTEIN	Homo sapiens	725	965
CHEMBL4429	10982	Neurokinin 3 receptor	P29371	SINGLE PROTEIN	Homo sapiens	713	1000
CHEMBL4441	12825	C-X-C chemokine receptor type 3	P49682	SINGLE PROTEIN	Homo sapiens	908	1367
CHEMBL5200	100861	C-X-C chemokine receptor type 3	O88410	SINGLE PROTEIN	Mus musculus	82	85
