Index	HGNC	Symbol	UniProt	Chromosome
1	HGNC:5	A1BG	P04217 alpha-1-B glycoprotein	19q13.43
2	HGNC:7	A2M	P01023 alpha-2-macroglobulin	12p13.31
3	HGNC:16	SERPINA3	P01011 serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	14q32.1
4	HGNC:17	AADAC	P22760 arylacetamide deacetylase	3q25.1
5	HGNC:18	AAMP	Q13685 angio-associated, migratory cell protein	2q
6	HGNC:19	AANAT	Q16613 aralkylamine N-acetyltransferase	17q25.1
7	HGNC:20	AARS	P49588 alanyl-tRNA synthetase	16q22.1
8	HGNC:21	AATK	Q6ZMQ8 apoptosis-associated tyrosine kinase	17q25.3
9	HGNC:23	ABAT	P80404 4-aminobutyrate aminotransferase	16p13.2
10	HGNC:29	ABCA1	O95477 ATP-binding cassette, sub-family A (ABC1), member 1	9q31
11	HGNC:30	ABCA10	Q8WWZ4 ATP-binding cassette, sub-family A (ABC1), member 10	17q24
12	HGNC:32	ABCA2	Q9BZC7 ATP-binding cassette, sub-family A (ABC1), member 2	9q34
13	HGNC:33	ABCA3	Q99758 ATP-binding cassette, sub-family A (ABC1), member 3	16p13.3
14	HGNC:34	ABCA4	P78363 ATP-binding cassette, sub-family A (ABC1), member 4	1p22
15	HGNC:35	ABCA5	Q8WWZ7 ATP-binding cassette, sub-family A (ABC1), member 5	17q24.3
16	HGNC:36	ABCA6	Q8N139 ATP-binding cassette, sub-family A (ABC1), member 6	17q21
17	HGNC:37	ABCA7	Q8IZY2 ATP-binding cassette, sub-family A (ABC1), member 7	19p13.3
18	HGNC:38	ABCA8	O94911 ATP-binding cassette, sub-family A (ABC1), member 8	17q24
19	HGNC:39	ABCA9	Q8IUA7 ATP-binding cassette, sub-family A (ABC1), member 9	17q24
20	HGNC:40	ABCB1	P08183 ATP-binding cassette, sub-family B (MDR/TAP), member 1	7q21.12
21	HGNC:41	ABCB10	Q9NRK6 ATP-binding cassette, sub-family B (MDR/TAP), member 10	1q32
22	HGNC:42	ABCB11	O95342 ATP-binding cassette, sub-family B (MDR/TAP), member 11	2q24
