Symbol	UniProt	UMLS_CUI	SE_name	Qval
1	CYP3A4	P08684 cytochrome P450, family 3, subfamily A, polypeptide 4	C0232487	Abdominal discomfort	6.4265e-09
2	PDE10A	Q9Y233 phosphodiesterase 10A	C0232487	Abdominal discomfort	6.4265e-09
3	ADORA2A	P29274 adenosine A2a receptor	C0232487	Abdominal discomfort	6.4265e-09
4	PDE4A	P27815 phosphodiesterase 4A, cAMP-specific	C0232487	Abdominal discomfort	6.4265e-09
5	MGAM	O43451 maltase-glucoamylase (alpha-glucosidase)	C0000731	Abdominal distension	6.4265e-09
6	NR3C1	P04150 nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	C0000731	Abdominal distension	6.4265e-09
7	NR3C2	P08235 nuclear receptor subfamily 3, group C, member 2	C0000731	Abdominal distension	6.4265e-09
8	CYP51A1	Q16850 cytochrome P450, family 51, subfamily A, polypeptide 1	C0000737	Abdominal pain	6.4265e-09
9	CYP2C9	P11712 cytochrome P450, family 2, subfamily C, polypeptide 9	C0000737	Abdominal pain	6.4265e-09
10	CYSLTR2	Q9NS75 cysteinyl leukotriene receptor 2	C0000737	Abdominal pain	6.4265e-09
11	SLC6A4	P31645 solute carrier family 6 (neurotransmitter transporter), member 4	C0000737	Abdominal pain	6.4265e-09
12	REN	P00797 renin	C0000737	Abdominal pain	6.4265e-09
13	ADORA2A	P29274 adenosine A2a receptor	C0000737	Abdominal pain	6.4265e-09
14	NR3C1	P04150 nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	C0000737	Abdominal pain	6.4265e-09
15	DHFR	P00374 dihydrofolate reductase	C0000737	Abdominal pain	6.4265e-09
16	ADRA1A	P35348 adrenoceptor alpha 1A	C0000737	Abdominal pain	6.4265e-09
17	POLA1	P09884 polymerase (DNA directed), alpha 1, catalytic subunit	C0000737	Abdominal pain	6.4265e-09
18	OPRM1	P35372 opioid receptor, mu 1	C0000737	Abdominal pain	6.4265e-09
19	PAH	P00439 phenylalanine hydroxylase	C0000737	Abdominal pain	6.4265e-09
20	PTGER4	P35408 prostaglandin E receptor 4 (subtype EP4)	C0000737	Abdominal pain	6.4265e-09
21	CYP3A5	P20815 cytochrome P450, family 3, subfamily A, polypeptide 5	C0000737	Abdominal pain	6.4265e-09
22	CACNA1G	O43497 calcium channel, voltage-dependent, T type, alpha 1G subunit	C0000737	Abdominal pain	6.4265e-09
23	PDE4D	Q08499 phosphodiesterase 4D, cAMP-specific	C0000737	Abdominal pain	6.4265e-09
24	KCNH2	Q12809 potassium voltage-gated channel, subfamily H (eag-related), member 2	C0000737	Abdominal pain	6.4265e-09
25	ESR2	Q92731 estrogen receptor 2 (ER beta)	C0000737	Abdominal pain	6.4265e-09
26	PTGS2	P35354 prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	C0000737	Abdominal pain	6.4265e-09
27	ADRB2	P07550 adrenoceptor beta 2, surface	C0000737	Abdominal pain	6.4265e-09
28	TYMS	P04818 thymidylate synthetase	C0000737	Abdominal pain	6.4265e-09
29	KCNK2	O95069 potassium channel, subfamily K, member 2	C0000737	Abdominal pain	6.4265e-09
30	TSPO	B1AH88 translocator protein (18kDa)	C0000737	Abdominal pain	6.4265e-09
31	TOP2A	P11388 topoisomerase (DNA) II alpha 170kDa	C0000737	Abdominal pain	6.4265e-09
