yourlist:M2016071314483A1C7ED25EE8374758DF3FD545FD1ADE30N	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P18090	P18090	ADRB1_RAT	reviewed	Beta-1 adrenergic receptor (Beta-1 adrenoreceptor) (Beta-1 adrenoceptor)	Adrb1 Adrb1r	Rattus norvegicus (Rat)	466
Q28044	Q28044	ADRB2_BOVIN	reviewed	Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor)	ADRB2	Bos taurus (Bovine)	418
P54833	P54833	ADRB2_CANLF	reviewed	Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor)	ADRB2	Canis lupus familiaris (Dog) (Canis familiaris)	415
P26255	P26255	ADRB3_RAT	reviewed	Beta-3 adrenergic receptor (Beta-3 adrenoreceptor) (Beta-3 adrenoceptor)	Adrb3 Adrb3r	Rattus norvegicus (Rat)	400
Q02769	Q02769	FDFT_RAT	reviewed	Squalene synthase (SQS) (SS) (EC 2.5.1.21) (FPP:FPP farnesyltransferase) (Farnesyl-diphosphate farnesyltransferase)	Fdft1	Rattus norvegicus (Rat)	416
O62664	O62664	PGH1_BOVIN	reviewed	Prostaglandin G/H synthase 1 (EC 1.14.99.1) (Cyclooxygenase-1) (COX-1) (Prostaglandin H2 synthase 1) (PGH synthase 1) (PGHS-1) (PHS 1) (Prostaglandin-endoperoxide synthase 1)	PTGS1 COX-1 COX1	Bos taurus (Bovine)	600
P05979	P05979	PGH1_SHEEP	reviewed	Prostaglandin G/H synthase 1 (EC 1.14.99.1) (Cyclooxygenase-1) (COX-1) (Prostaglandin H2 synthase 1) (PGH synthase 1) (PGHS-1) (PHS 1) (Prostaglandin-endoperoxide synthase 1)	PTGS1 COX1	Ovis aries (Sheep)	600
P79208	P79208	PGH2_SHEEP	reviewed	Prostaglandin G/H synthase 2 (EC 1.14.99.1) (Cyclooxygenase-2) (COX-2) (PHS II) (Prostaglandin H2 synthase 2) (PGH synthase 2) (PGHS-2) (Prostaglandin-endoperoxide synthase 2)	PTGS2 COX2	Ovis aries (Sheep)	603
Q9Z0U4	Q9Z0U4	GABR1_RAT	reviewed	Gamma-aminobutyric acid type B receptor subunit 1 (GABA-B receptor 1) (GABA-B-R1) (GABA-BR1) (GABABR1) (Gb1)	Gabbr1	Rattus norvegicus (Rat)	991
O88871	O88871	GABR2_RAT	reviewed	Gamma-aminobutyric acid type B receptor subunit 2 (GABA-B receptor 2) (GABA-B-R2) (GABA-BR2) (GABABR2) (Gb2) (G-protein coupled receptor 51)	Gabbr2 Gpr51	Rattus norvegicus (Rat)	940
