P49758	HGNC:10002	RGS6	ENSG00000182732	regulator of G-protein signaling 6	Regulators of G-protein signaling
Q99578	HGNC:10017	RIT2	ENSG00000152214	Ras like without CAAX 2	RAS type GTPase family
O43353	HGNC:10020	RIPK2	ENSG00000104312	receptor interacting serine/threonine kinase 2	Caspase recruitment domain containing
P10153	HGNC:10045	RNASE2	ENSG00000169385	ribonuclease A family member 2	Ribonuclease A family
Q05823	HGNC:10050	RNASEL	ENSG00000135828	ribonuclease L	Ankyrin repeat domain containing
Q99942	HGNC:10068	RNF5	ENSG00000204308	ring finger protein 5	Ring finger proteins
P35398	HGNC:10258	RORA	ENSG00000069667	RAR related orphan receptor A	Nuclear hormone receptors
Q92753	HGNC:10259	RORB	ENSG00000198963	RAR related orphan receptor B	Nuclear hormone receptors
P08922	HGNC:10261	ROS1	ENSG00000047936	ROS proto-oncogene 1, receptor tyrosine kinase	Receptor Tyrosine Kinases
P56715	HGNC:10263	RP1	ENSG00000104237	retinitis pigmentosa 1 (autosomal dominant)	None
Q9UNE2	HGNC:10296	RPH3AL	ENSG00000181031	rabphilin 3A-like (without C2 domains)	None
Q9H8M5	HGNC:103	CNNM2	ENSG00000148842	cyclin and CBS domain divalent metal cation transport mediator 2	None
Q07020	HGNC:10310	RPL18	ENSG00000063177	ribosomal protein L18	None
P46776	HGNC:10329	RPL27A	ENSG00000166441	ribosomal protein L27a	L ribosomal proteins
P23560	HGNC:1033	BDNF	ENSG00000176697	brain derived neurotrophic factor	Endogenous ligands
P62945	HGNC:10354	RPL41	ENSG00000229117	ribosomal protein L41	L ribosomal proteins
P46777	HGNC:10360	RPL5	ENSG00000122406	ribosomal protein L5	Protein phosphatase 1 regulatory subunits
Q02878	HGNC:10362	RPL6	ENSG00000089009	ribosomal protein L6	L ribosomal proteins
P18124	HGNC:10363	RPL7	ENSG00000147604	ribosomal protein L7	L ribosomal proteins
P00751	HGNC:1037	CFB	ENSG00000243649	complement factor B	Complement system
P05386	HGNC:10372	RPLP1	ENSG00000137818	ribosomal protein lateral stalk subunit P1	L ribosomal proteins
P63220	HGNC:10409	RPS21	ENSG00000171858	ribosomal protein S21	S ribosomal proteins
P62854	HGNC:10414	RPS26	ENSG00000197728	ribosomal protein S26	S ribosomal proteins
O75676	HGNC:10433	RPS6KA4	ENSG00000162302	ribosomal protein S6 kinase A4	Mitogen-activated protein kinase-activated protein kinases
P23443	HGNC:10436	RPS6KB1	ENSG00000108443	ribosomal protein S6 kinase B1	None
Q9P2E9	HGNC:10448	RRBP1	ENSG00000125844	ribosome binding protein 1	None
Q92766	HGNC:10449	RREB1	ENSG00000124782	ras responsive element binding protein 1	Zinc fingers C2H2-type
P31350	HGNC:10452	RRM2	ENSG00000171848	ribonucleotide reductase regulatory subunit M2	None
Q15404	HGNC:10464	RSU1	ENSG00000148484	Ras suppressor protein 1	None
Q01196	HGNC:10471	RUNX1	ENSG00000159216	runt related transcription factor 1	None
Q13761	HGNC:10473	RUNX3	ENSG00000020633	runt related transcription factor 3	None
Q8N488	HGNC:10480	RYBP	ENSG00000163602	RING1 and YY1 binding protein	Zinc fingers RANBP2-type 
Q92736	HGNC:10484	RYR2	ENSG00000198626	ryanodine receptor 2	Ryanodine receptors
Q6P4Q7	HGNC:105	CNNM4	ENSG00000158158	cyclin and CBS domain divalent metal cation transport mediator 4	None
Q13323	HGNC:1051	BIK	ENSG00000100290	BCL2 interacting killer	BCL2 homology region 3 (BH3) only
Q9NZJ4	HGNC:10519	SACS	ENSG00000151835	sacsin molecular chaperone	DNAJ (HSP40) heat shock proteins
O00499	HGNC:1052	BIN1	ENSG00000136717	bridging integrator 1	N-BAR domain containing
